Slope_Pct,Aspect,Tri_Index,p.xy
31.60344566,116.2947901,2087,"314810.223525,2899948.82495"
31.31382371,64.79887635,700,"314810.223525,2900148.82495"
20.5723655,49.60009567,1602,"315010.223525,2900248.82495"
16.77630604,69.04422327,681,"315010.223525,2900448.82495"
10.71343912,84.64417496,1578,"315110.223525,2900548.82495"
10.9188929,102.3390873,1065,"315110.223525,2900748.82495"
14.24000624,110.5560452,1557,"315010.223525,2900848.82495"
25.49509757,101.3099325,1077,"314810.223525,2900848.82495"
26.2488095,72.25532837,1558,"314810.223525,2901048.82495"
25.25646232,67.4964715,1045,"314710.223525,2901148.82495"
23.93509743,77.12499844,1054,"314810.223525,2901348.82495"
9.893881386,57.38075693,395,"315010.223525,2901348.82495"
8.856886837,70.20112365,1053,"315110.223525,2901148.82495"
3.431876714,330.9453959,1560,"315310.223525,2901148.82495"
5.906681716,343.6104597,1066,"315410.223525,2901348.82495"
6.936217349,324.782407,1994,"315610.223525,2901448.82495"
6.936217349,324.782407,1979,"315710.223525,2901648.82495"
5.754225501,10.0079798,1536,"315910.223525,2901748.82495"
7.007932014,357.273689,1982,"316010.223525,2901648.82495"
1.054092553,341.5650512,1996,"315910.223525,2901448.82495"
3.333333333,323.1301024,1547,"316010.223525,2901348.82495"
2.108185107,288.4349488,2377,"316010.223525,2901148.82495"
3.80058475,254.7448813,1980,"315910.223525,2901048.82495"
1.201850425,146.3099325,1995,"315710.223525,2901148.82495"
1.201850425,146.3099325,1993,"315610.223525,2901048.82495"
2.748737084,165.9637565,2010,"315610.223525,2900848.82495"
3.543381938,138.8140748,1577,"315410.223525,2900848.82495"
2.748737084,165.9637565,1579,"315710.223525,2900748.82495"
8.692269874,85.60129465,1537,"316210.223525,2901148.82495"
9.067647006,72.89727103,2378,"316210.223525,2901348.82495"
4.346134937,122.4711923,1970,"316310.223525,2901448.82495"
3.543381938,228.8140748,1984,"316510.223525,2901448.82495"
5,180,1562,"316610.223525,2901348.82495"
1.666666667,180,1998,"316610.223525,2901148.82495"
1.666666667,180,1999,"316810.223525,2901148.82495"
6.936217349,305.217593,2383,"316910.223525,2901048.82495"
5,323.1301024,2379,"317110.223525,2901148.82495"
3.605551275,326.3099325,2385,"317210.223525,2901048.82495"
3.282952601,336.037511,1586,"317410.223525,2901048.82495"
11.94896555,30.14138555,2000,"317510.223525,2901148.82495"
10.35481638,3.691385986,2381,"317710.223525,2901148.82495"
8.749603166,72.25532837,2387,"317810.223525,2901048.82495"
10.3494498,284.9314172,2014,"318010.223525,2901048.82495"
