Slope_Pct,Aspect,Tri_Index,Node_Index,TinNod.xyz
8.856886837,70.20112365,1053,536,"315210.22,2900948.82,206"
8.856886837,70.20112365,1053,530,"314910.22,2901248.82,222"
8.856886837,70.20112365,1053,344,"315210.22,2901248.82,197"
3.431876714,330.9453959,1560,536,"315210.22,2900948.82,206"
3.431876714,330.9453959,1560,344,"315210.22,2901248.82,197"
3.431876714,330.9453959,1560,1000,"315510.22,2901248.82,202"
5.906681716,343.6104597,1066,344,"315210.22,2901248.82,197"
5.906681716,343.6104597,1066,1000,"315510.22,2901248.82,202"
5.906681716,343.6104597,1066,771,"315510.22,2901548.82,185"
6.936217349,324.782407,1994,1000,"315510.22,2901248.82,202"
6.936217349,324.782407,1994,771,"315510.22,2901548.82,185"
6.936217349,324.782407,1994,993,"315810.22,2901548.82,197"
6.936217349,324.782407,1979,771,"315510.22,2901548.82,185"
6.936217349,324.782407,1979,993,"315810.22,2901548.82,197"
6.936217349,324.782407,1979,763,"315810.22,2901848.82,180"
5.754225501,10.0079798,1536,993,"315810.22,2901548.82,197"
5.754225501,10.0079798,1536,763,"315810.22,2901848.82,180"
5.754225501,10.0079798,1536,988,"316110.22,2901848.82,177"
7.007932014,357.273689,1982,993,"315810.22,2901548.82,197"
7.007932014,357.273689,1982,988,"316110.22,2901848.82,177"
7.007932014,357.273689,1982,994,"316110.22,2901548.82,198"
1.054092553,341.5650512,1996,993,"315810.22,2901548.82,197"
1.054092553,341.5650512,1996,994,"316110.22,2901548.82,198"
1.054092553,341.5650512,1996,1001,"315810.22,2901248.82,200"
3.333333333,323.1301024,1547,994,"316110.22,2901548.82,198"
3.333333333,323.1301024,1547,1001,"315810.22,2901248.82,200"
3.333333333,323.1301024,1547,1192,"316110.22,2901248.82,206"
2.108185107,288.4349488,2377,537,"316110.22,2900948.82,208"
2.108185107,288.4349488,2377,1001,"315810.22,2901248.82,200"
2.108185107,288.4349488,2377,1192,"316110.22,2901248.82,206"
3.80058475,254.7448813,1980,537,"316110.22,2900948.82,208"
3.80058475,254.7448813,1980,1001,"315810.22,2901248.82,200"
3.80058475,254.7448813,1980,783,"315810.22,2900948.82,197"
1.201850425,146.3099325,1995,1000,"315510.22,2901248.82,202"
1.201850425,146.3099325,1995,1001,"315810.22,2901248.82,200"
1.201850425,146.3099325,1995,783,"315810.22,2900948.82,197"
1.201850425,146.3099325,1993,1000,"315510.22,2901248.82,202"
1.201850425,146.3099325,1993,783,"315810.22,2900948.82,197"
1.201850425,146.3099325,1993,1008,"315510.22,2900948.82,199"
2.748737084,165.9637565,2010,783,"315810.22,2900948.82,197"
2.748737084,165.9637565,2010,1008,"315510.22,2900948.82,199"
2.748737084,165.9637565,2010,793,"315510.22,2900648.82,191"
3.543381938,138.8140748,1577,536,"315210.22,2900948.82,206"
3.543381938,138.8140748,1577,1008,"315510.22,2900948.82,199"
3.543381938,138.8140748,1577,793,"315510.22,2900648.82,191"
2.748737084,165.9637565,1579,794,"315810.22,2900648.82,189"
2.748737084,165.9637565,1579,783,"315810.22,2900948.82,197"
2.748737084,165.9637565,1579,793,"315510.22,2900648.82,191"
8.692269874,85.60129465,1537,537,"316110.22,2900948.82,208"
8.692269874,85.60129465,1537,1192,"316110.22,2901248.82,206"
8.692269874,85.60129465,1537,777,"316410.22,2901248.82,180"
9.067647006,72.89727103,2378,994,"316110.22,2901548.82,198"
9.067647006,72.89727103,2378,1192,"316110.22,2901248.82,206"
9.067647006,72.89727103,2378,777,"316410.22,2901248.82,180"
4.346134937,122.4711923,1970,994,"316110.22,2901548.82,198"
4.346134937,122.4711923,1970,777,"316410.22,2901248.82,180"
4.346134937,122.4711923,1970,995,"316410.22,2901548.82,187"
3.543381938,228.8140748,1984,777,"316410.22,2901248.82,180"
3.543381938,228.8140748,1984,995,"316410.22,2901548.82,187"
3.543381938,228.8140748,1984,772,"316710.22,2901548.82,195"
5,180,1562,777,"316410.22,2901248.82,180"
5,180,1562,772,"316710.22,2901548.82,195"
5,180,1562,1002,"316710.22,2901248.82,180"
1.666666667,180,1998,784,"316710.22,2900948.82,175"
